id,korean,romanization,english,partOfSpeech,topikLevel,category,labels,lessons,sources,primarySource,sourceGroup,sourceType
kv0469,요리,yo-ri,cooking / cuisine,noun,2,people-occupations,people-occupations,bab06|bab18|bab20,bab06|bab18|bab20|test-level-2-practice|test-topik-ii-level-3-practice-2|topik-core,bab06,bab,workbook+topik
kv0470,서두르다,seo-du-reu-da,to hurry,verb,2,verbs-actions,verbs-actions,bab18,bab18,bab18,bab,workbook
kv0471,숙제,suk-je,homework,noun,2,school-study,school-study|places-buildings|home-household,bab14,bab14|test-level-2-practice|test-reading-skills-set|topik-core,bab14,bab,workbook+topik
kv0472,책상,chaek-sang,desk,noun,2,home-household,home-household,bab02|bab07,bab02|bab07|topik-core,bab02,bab,workbook+topik
kv0473,춥다,chup-da,to be cold (weather),adjective,2,body-health,body-health|weather-seasons|descriptions-qualities,bab05|bab06|bab10|bab15|bab20,topik1-vocab|bab05|bab06|bab10|bab15|bab20|test-intermediate-1|test-level-1-2-practice|test-reading-skills-set|test-reading-20|test-intermediate-advanced-2|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0474,무겁다,mu-geop-da,to be heavy,adjective,2,descriptions-qualities,descriptions-qualities,bab05|bab06,bab05|bab06|test-level-2-practice|topik-core,bab05,bab,workbook+topik
kv0475,침대,chim-dae,bed,noun,2,home-household,home-household,bab07,bab07|topik-core,bab07,bab,workbook+topik
kv0476,권,gueon,a volume or a book,dependent noun,2,numbers-counters,numbers-counters,bab15,bab15|topik-core,bab15,bab,workbook+topik
kv0477,시계,si-gye,clock / watch,noun,2,general-core,general-core,bab02|bab04,bab02|bab04|topik-core,bab02,bab,workbook+topik
kv0478,일월,il-ueol,january,noun,2,general-core,general-core,bab08,bab08|topik-core,bab08,bab,workbook+topik
kv0479,도서관,do-seo-goan,library,noun,2,school-study,school-study,bab03|bab04|bab06|bab08|bab09|bab13|bab14|bab16|bab19,topik1-vocab|bab03|bab04|bab06|bab08|bab09|bab13|bab14|bab16|bab19|test-intermediate-1|test-level-1-2-practice|test-level-2-mock|test-level-2-practice|test-reading-skills-set|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0480,선물,seon-mul,gift / present,noun,2,shopping-money,shopping-money,bab13|bab20,bab13|bab20|test-reading-20|test-intermediate-advanced-2|topik-core,bab13,bab,workbook+topik
kv0481,아주머니,a-ju-meo-ni,"an aunt, a respectable word for a married, older woman",noun,2,family-relationships,family-relationships|communication-media,bab15,bab15|topik-core,bab15,bab,workbook+topik
kv0482,지하철,ji-ha-cheol,subway,noun,2,transport-directions,transport-directions,bab16|bab18,topik1-vocab|bab16|bab18|test-level-2-mock|test-level-2-practice|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0483,이월,i-ueol,february,noun,2,general-core,general-core,bab08|bab09,bab08|bab09|topik-core,bab08,bab,workbook+topik
